2	Lolz were had	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	The Kids Are Alright	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Ritz Camera SUCKS	s[n[n[(n/n)   n]] (s\\n)]
2	Radio Flyer Flies	s[n[n[(n/n)   n]] (s\\n)]
1	Lamb is Lame	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love the exercises	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	LDs are cheaper	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Rosemary Wells ROCKS	s[n[n[(n/n)   n]] (s\\n)]
2	YOU BE THE JUDGE	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
1	This sled is dangerous	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	These people are slow----slow	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love this calc	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is a great belt	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
2	Album is FIT	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	This is a Great Project	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	This is no Ishmael	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	It delivers your expectation	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	my granddaughter was delighted	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Watts is cheap	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Braun is Better	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Huffy Service Stinks	s[n[n[(n/n)   n]] (s\\n)]
2	It Serves My Purpose	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Times are changing	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Evolution proved wrong	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Accordian Players Rock	s[n[n[(n/n)   n]] (s\\n)]
2	Renee is wonderful	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	It 's a text book	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Rowenta Irons LEAK	s[n[n[(n/n)   n]] (s\\n)]
1	Somebody call an editor	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	I LOVE THIS SCENT	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Katamari is awesome	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	I love the buns sections	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	Cali iz inactive	s[n[n[(n/n)   n]] (s\\n)]
2	These Speakers are great	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	It hits the spot	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Puppy is toasty	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Rebate is phony	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	REO Still Rocks	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	wires fall apart	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	it is a nice dress	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	The cradle is dumb	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Great vacation read	s[n[n[(n/n)   n]] (s\\n)]
1	etymotic buyers beware	s[n[n[(n/n)   n]] (s\\n)]
1	Moccasins were returned	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Defenders Are Cool	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Character Studies Abound	s[n[n[(n/n)   n]] (s\\n)]
1	Some people never learn	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Long time comin	s[n[n[(n/n)   n]] (s\\n)]
1	This movie was busted	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	I smell a RAT	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	This is my U2	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	this is a moving cd	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	It died a quick death	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	it insults your intellegence	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	INNOCENT VICTIM UNDERRATED	s[n[n[(n/n)   n]] (s\\n)]
1	She 's No Barbara Cook	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
1	PCI Bus Demystified	s[n[n[(n/n)   n]] (s\\n)]
1	It misses the mark	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	It beats the rest	s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]]
2	Biolean is Good	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	Okay Pleasure Read	s[n[n[(n/n)   n]] (s\\n)]
2	Offspring Always Rocks	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	STARR IS PRESUMPTUOUS	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
1	Paperback is cheaper	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
2	soda is great	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
