4	Very good !	(s\\n)[(s\\n)[((s\\n)/(s\\n))   (s\\n)] punc]
5	Better than the real ! !	(s\\n)[(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/n)   n[(n/n)   n]]] punc] punc]
5	I loved this recipe .	s[s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]] punc]
5	Yummy	(s\\n)  
5	Very Good Soup . Thanks .	n[n[n[n[n[(n/n)[((n/n)/(n/n))   (n/n)] n]] punc] (n\\n)] punc]
5	Great summer garden salad ! !	n[n[n[n[(n/n)   n[(n/n)   n[(n/n)   n]]]] punc] punc]
5	Love it !	(s\\n)[(s\\n)[((s\\n)/n)   n] punc]
5	Grand as is !	(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/((s\\n)\\(s\\n)))   ((s\\n)\\(s\\n))]] punc]
4	Delicious !	s[s   punc]
5	To dye for !	(s\\n)[((s\\n)/(s\\n))   (s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))] punc]]
4	This recipe was very good .	s[s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)[((s\\n)/(s\\n))   (s\\n)]]] punc]
5	Sounds like the real thing !	(s\\n)[(s\\n)[((s\\n)/p)   p[(p/n)   n[(n/n)   n[(n/n)   n]]]] punc]
5	Love this ! !	(s\\n)[(s\\n)[(s\\n)[((s\\n)/n)   n] punc] punc]
5	Just fantastic !	(s\\n)[(s\\n)[((s\\n)/(s\\n))   (s\\n)] punc]
4	good cookie , thnx	s[s[s[s   (s\\s)] punc] (s\\s)]
5	love this recipe !	(s\\n)[(s\\n)[((s\\n)/n)   n[(n/n)   n]] punc]
5	A perfect cookie	n[(n/n)   n[(n/n)   n]]
5	Excellent !	s[s   punc]
5	One of my favourite smoothies !	n[n[n[n] (n\\n)[((n\\n)/n)   n[(n/n)   n[(n/n)   n]]]] punc]
5	Loved it .	(s\\n)[(s\\n)[((s\\n)/n)   n] punc]
4	Very Good .	(s\\n)[(s\\n)[((s\\n)/(s\\n))   (s\\n)] punc]
5	fanstatically light and delicious !	(s\\n)[(s\\n)[((s\\n)/(s\\n))   (s\\n)[(s\\n)   ((s\\n)\\(s\\n))[conj   (s\\n)]]] punc]
3	Great ! !	s[s[s   punc] punc]
5	These are amazing !	s[s[n   (s\\n)[((s\\n)/(s\\n))   (s\\n)]] punc]
2	very bland .	(s\\n)[(s\\n)[((s\\n)/(s\\n))   (s\\n)] punc]
5	These are also called \	s[s[n   (s\\n)[((s\\n)/(s\\n))[((s\\n)/(s\\n))   ((s\\n)\\(s\\n))] (s\\n)]] punc]
5	Excellent outcome ! Very crunchy .	n[n[n[n[(n/n)   n]] punc] (n\\n)[(s\\n)[(s\\n)[((s\\n)/(s\\n))   (s\\n)] punc]]]
5	good stuff dee	n[(n/n)   n[(n/n)   n]]
1	Mush	n  
5	Easy recipe .	n[(n/n)   n[n   punc]]
5	awesome	(s\\n)  
5	Delicious and easy !	(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))[conj   (s\\n)]] punc]
4	Great ! Icing is delicious .	s[s[(s/s)   s[punc   s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]]] punc]
5	sooo good i used green onions	s[(s/s)[((s/s)/(s/s))   (s/s)] s[n   (s\\n)[((s\\n)/n)   n[n[(n/n)   n]]]]]
4	Yummm ! !	s[s[s   punc] punc]
5	Outstanding !	(s\\n)[(s\\n)   punc]
5	Wonderful for all agaes ... A+	(s\\n)[(s\\n)[(s\\n)[((s\\n)/p)   p[(p/n)   n[(n/n)   n]]] punc] punc]
5	Wonderful even without prosciutto !	(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/((s\\n)\\(s\\n)))   ((s\\n)\\(s\\n))[(((s\\n)\\(s\\n))/n)   n[n]]]] punc]
