5	Good Quality Dog Food	n[(n/n)   n[(n/n)   n[(n/n)   n]]]
1	Not as Advertised	s[(s/s)   s[(s/(s\\n))   (s\\n)]]
4	" Delight " says it all	s[n[(n/n)   n[n   (n\\n)]] (s\\n)[((s\\n)/n)   n[n   (n\\n)]]]
2	Cough Medicine	n[(n/n)   n]
5	Great taffy	n[(n/n)   n]
4	Nice Taffy	n[(n/n)   n]
5	Wonderful , tasty taffy	n[(n/n)   n[punc   n[(n/n)   n]]]
5	Yay Barley	s[s   punc]
5	Healthy Dog Food	n[(n/n)   n[(n/n)   n]]
4	fresh and greasy !	(s\\n)[(s\\n)[(s\\n)   ((s\\n)\\(s\\n))[conj   (s\\n)]] punc]
5	Strawberry Twizzlers - Yummy	n[n[n[(n/n)   n]] (n\\n)[((n\\n)/(s\\n))   (s\\n)]]
2	poor taste	n[(n/n)   n]
5	Love it !	(s\\n)[(s\\n)[((s\\n)/n)   n] punc]
5	GREAT SWEET CANDY !	n[n[n[(n/n)   n[(n/n)   n]]] punc]
5	Home delivered twizlers	n[(n/n)   n[(n/n)   n]]
5	Always fresh	(s\\n)[((s\\n)/(s\\n))   (s\\n)]
5	TWIZZLERS	n  
5	Delicious product !	n[n[n[(n/n)   n]] punc]
5	Twizzlers	n  
5	Twizzlers - Strawberry	n[n[n] (n\\n)[((n\\n)/n)   n[n]]]
1	Nasty No flavor	(s\\n)[((s\\n)/n)   n[(n/n)   n]]
4	Great Bargain for the Price	n[n[n[(n/n)   n]] (n\\n)[((n\\n)/n)   n[(n/n)   n]]]
5	YUMMY !	s[s   punc]
5	Great machine !	n[n[n[(n/n)   n]] punc]
5	THIS IS MY TASTE ...	s[s[n   (s\\n)[((s\\n)/n)   n[(n/n)   n]]] punc]
4	Best of the Instant Oatmeals	n[n[n] (n\\n)[((n\\n)/n)   n[(n/n)   n[(n/n)   n]]]]
4	Good Instant	s[s   (s\\s)]
4	satisfying	(s\\n)  
5	it 's oatmeal	s[n   (s\\n)[((s\\n)/n)   n[n]]]
5	Wife 's favorite Breakfast	n[(n/n)[n[n] ((n/n)\\n)] n[(n/n)   n]]
5	Oatmeal For Oatmeal Lovers	n[n[n] (n\\n)[((n\\n)/n)   n[n[(n/n)   n]]]]
5	Food - Great	n[n[n] (n\\n)[((n\\n)/(s\\n))   (s\\n)]]
5	Good Hot Breakfast	n[(n/n)   n[(n/n)   n]]
5	Great taste and convenience	n[(n/n)   n[n   (n\\n)[conj   n]]]
3	Hearty Oatmeal	n[(n/n)   n]
5	good	(s\\n)  
3	Mushy	n  
3	Same stuff	n[(n/n)   n]
1	Do n't like it	(s\\n)[((s\\n)/(s\\n))[((s\\n)/(s\\n))   ((s\\n)\\(s\\n))] (s\\n)[((s\\n)/n)   n]]
3	not ass kickin	s[(s/n)   n[n[(n/n)   n]]]
4	Roasts up a smooth brew	(s\\n)[((s\\n)/n)[((s\\n)/n)   ((s\\n)\\(s\\n))] n[(n/n)   n[(n/n)   n]]]
5	Our guests love it !	s[s[n[(n/n)   n] (s\\n)[((s\\n)/n)   n]] punc]
5	Awesome Deal !	n[n[n[(n/n)   n]] punc]
5	How can you go wrong !	s[s[(s/s)   s[(s/(s\\n))[((s/(s\\n))/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]] punc]
